usluga,tip,cena,grad,sira_lokacija,uza_lokacija,adresa,povrsina,plac,broj_soba,uknjizenost,grejanje,broj_etaza,stanje,godina_izgradnje,spratnost,lift,infrastruktura,parking,garaza,unutrasnje_prostorije,namestenost,opremljenost,useljivo,orijentacija_nekretnine,tip_objekta,tip_stana,tip_kuce,sifra_oglasa,opis,link,latitude,longitude,udaljenost_od_centra
prodaja,stan,277.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,80m²,,3 sobe,,,,,,2/16 spratova (nije poslednji sprat),,,,,,,,,,,,,108,"Smeštena u Park distriktu Belgrade Waterfront-a, BW Libera nudi najbolje od savremenog gradskog života, kao mesto susreta životnog stila, kvalitetne gradnje i prvoklasne lokacije. Ova vrhunska kolekcija stanova direktno je pozicionirana prema uređenom zajedničkom dvorištu i nalazi se na samo nekoliko minuta od ključnih atrakcija Beograda.BW Libera je šesnaestospratna stambena zgrada koja zauzima južni deo kontinuirane zelene zone Savskog parka. Glavnu karakteristiku arhitektonskog rešenja zgrade predstavlja fasada razložena na niz propocionalnih blokova koji formiraju utisak gradske ulice. Kompleks nudi izuzetnu povezanost sa gradom, obilje prirodnog svetla i izvanredne poglede na zajedničko dvorište, Savski park, stari centar grada, a sa viših spratova i na Kulu Beograd i BW Art Centar.U neposrednom susedstvu nalaze se Galerija Belgrade, BW Art Centar, stambeni i komercijalni objekti.Smeštena u trećem redu zgrada od obale Save, s prednošću direktnog pogleda na prelepo uređeni Savski park, BW Libera stanarima svih starosnih grupa nudi bogatu lepezu sadržaja. Porodice sa decom biće privučene prostranim zajedničkim dvorištem, blizinom Savskog parka, vrtića i škola. Pojedincima i mladim parovima značiće što žive u dinamičnom okruženju i u neposrednoj blizini Galerije Belgrade sa nenadmašnim izborom restorana, kafića i prodavnica, dok će svi stanari podjednako uživati u bogatom kulturnom programu i izvanrednim rekreativnim sadržajima kao što su šetnja ili vožnja bicikla duž Sava Promenade.Pogodno smeštena između dva bulevara, BW Libera omogućava brzu i jednostavnu vezu sa glavnim saobraćajnim arterijama i ključnim destinacijama prestonice, kao što su Novi Beograd preko Savskog i mosta Gazela i stari gradski centar preko Savske ulice i Savskog trga. Neposredna okolina zgrade i čitav Belgrade Waterfront obiluju pešačkim ulicama i biciklističkim stazama.BW Libera pruža idealan ambijent za zdrav i aktivan život - iskoračite iz svog stana u uzbudljivu zelenu oazu koja se pruža u daljinu! Veliko, uređeno zajedničko dvorište sa dečijim igralištem čini zeleno jezgro kompleksa, prvenstveno zamišljeno kao zona za opuštanje stanara i za porodične aktivnosti. Njegov produžetak, veličanstveni Savski park, sadrži 140 stabala, brojne sportsko-rekreativne sadržaje za osobe svih starosnih grupa i interesovanja, vrhunski parkovski mobilijar, ambijentalnu rasvetu i uređene travnjake. Pored toga, obližnje, 1,8 kilometara dugo šetalište Sava Promenada predstavlja savršeno okruženje za trčanje, vožnju bicikla i rolera ili šetnju pored reke.Stambena zgrada BW Libera okružena je mnoštvom sadržaja za savremen život. Bilo da tražite vrhunske brendove, najbolje gastronomske specijalitete, idealan ambijent za druženje uz kafu ili nezaboravnu zabavu za celu porodicu, sve što poželite nalazi se odmah iza ugla, u Galeriji Belgrade.U blizini je i Kula Beograd, najnovije gradsko obeležje i najviša zgrada u Srbiji, sa višenamenskim javnim platoom za interaktivne događaje i proslave tokom čitave godine, vidikovcem sa panoramskim pogledima, restoranom na vrhu i ekskluzivnim sadržajima u sklopu hotela The St. Regis Belgrade. Priobalno šetalište Sava Promenada sadrži mnoštvo ugostiteljskih objekata, dok će novi BW Art Centar postati gravitaciono središte umetničkih i kulturnih dešavanja.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/6142f325fdadba4f76075190,44.80499275,20.448490990559197,1.5824817767765371
prodaja,stan,225.000 €,Beograd,Stari Grad opština,Beograd centar,Kralja Petra,48m²,,2 sobe,,centralno grejanje,,uobičajeno stanje,,1/7 spratova (nije poslednji sprat),ima lift (1),terasa,,,kupatilo,namešteno,"telefon, kablovska, internet, interfon, klima",useljivo,,,,,1016,"LUX stan u strogom centru grada u neposrednoj blizini Kalemegdana, Knez Mihailove ulice, Saborne crkve, Trga republike, ZOO vrta, TC Rajićeva. Nalazi se u ulici Kralja Petra na prvom spratu stambene zgrade. Od prostorija ima komforno predsoblje odakle se ulazi u kupatilo, spavaću sobu i dnevni boravak u sklopu koga je kuhinja sa trpezarijom i izlaz na terasu. Stolarija je od PVC profila sa višeslojnim staklom tako da je stan zvučno i termički izolovan. U blizini stana su još i Javna garaža i kafana ""Znak pitanja""Stan vredi pogledati.Agencijska provizija 2% od dogovorrene kupoprodajne cene",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kralja-petra/61a0c2991fd4c023f573fec1,44.8210002,20.456625,0.34639317163167943
prodaja,stan,409.000 €,Beograd,Voždovac opština,Šumice,Vojislava Ilića,135m²,,4 sobe,uknjiženo,centralno grejanje,,,2019. godine,5/6 spratova (nije poslednji sprat),ima lift (2),terase (3),,"2 garažna mesta, u sklopu zgrade",kupatila (2),,,,,,,,,"Prvoklasan, izuzetno opremljen, veoma funkcionalan, svetao, dvostrano orijentisan stan u novom luksuznom kompleksu u neposrednoj blizini Beo Shopping Centra. Sjajne strukture, prostran, idealan za porodice sa decom a sastoji se od: velikog dnevnog boravka sa trpezarijom, kuhinje, odvojenog bloka u kome su tri spavaće sobe, dva kupatila (jedno sa tuš kabinom, drugo sa kadom), garderober sobe i čak tri terase od kojih je najveća  površine preko 15 m2, natkrivena i sa nesmetanim pogledom na grad.Stan je opremljen visokokvalitetnom opremom a kuhinja, ugradni elementi, garderober i još mnogo toga, uključeni su u cenu.U cenu su uključena i dva garažna mesta u velikoj, lako pristupačnoj garaži sa širokim ulazom za vozila svih gabarita.U okviru kompleksa se nalazi novo dečije igralište, veliki supermarket, lokali sa mnogim uslužnim delatnostima, obezbeđenje i drugi infrastrukturni objekti koji ovaj kompleks čine veoma atraktivnim i poželjnim mestom za život. U blizini se nalaze škole i obdaništa, a pristup autoputu je veoma brz što čini ovu lokaciju odlično povezanom sa ostalim delovima grada.Sama zgrada je sa lepim ulazom, širokim hodnicima, dva lifta u funkciji, grejanjem sa kalorimetrima i atraktivnom fasadom.Stan za svaku preporuku, retko u ponudi!Provizija kupca iznosi 2%.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojislava-ilica/61a0c2a0554b4e64594b24be,44.7934689,20.4947536,4.037884463423132
prodaja,stan,943.800 €,Beograd,Savski Venac,Dedinje,Dedinje,242m²,,4 sobe,,,,,,4. sprat,,bazen,,,,,,,,,,,76,"Ovaj luksuzni objekat čini podzemna etaža, prizemlje i četiri sprata od kojih je poslednji povučenog tipa.Na podzemnoj etaži je smeštena zajednička garaža namenjena parkiranju vozila budućih vlasnika stanova.Na nivou garaže je spa centar sa pripadajućom teretanom, turskim kupatilom, saunom i bazenom. SPA centar je namenjen isključivo vlasnicima stanova.Namena svih nadzemnih etaža je stanovanje gde je smešteno ukupno 26 stambenih jedinica različitih struktura koje se u dogovoru sa klijentima mogu udvajati i formirati nove strukture.Na povučenom spratu smešteni su penthaus stanovi sa prostranim terasama i neverovatnim pogledom na sve beogradske vizure.Fasada objekta odiše kombinacijom klasične i savremene arhitekture. Projektovana je kao kombinacija prirodnog kamena na fasadi, sa dekorativnim kamenim elementima, kovanim gvožđem i velikim staklenim površinama u vidu prozora antracit boje sa aluminijumskim roletnama.Ulazni hol krasi grandiozan ulaz sa kamenom intarzijom na podu, veliki lobi obogaćen dekorativnim komadnim nameštajem, bogatom rasvetom i particijom za sedenje i odmor. Lobi ujedno služi kao mesto okupljanja stanara za različite dogovore vezane za skupštinu stanara. Predviđen je veliki pult za portira zgrade, odakle ima pristup kamerama, vratima i poštanskim sandučićima. Poštanski sandučići na ulaznom delu se posebno dizajniraju kao ulazni hol. Na pultu se nalazi logo zgrade, kao prepoznatljivi simbol Milana Tepića Residence.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dedinje/603a1f6e9d9e0706591c8183,44.7752073,20.4592289,4.746896253262174
prodaja,stan,176.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,58m²,,2 sobe,,,,,,1/8 spratova (nije poslednji sprat),,,,,,prazno,,,,,,,91,"U ponudi se nalaze stanovi raznih struktura, ovo je primer samo jednog stana od 58m2 iz celokupne ponude.BW Quartet je stambeni kompleks srednje visine, u neposrednoj blizini Savskog parka. Ova osmospratnica obuhvata 232 stanova različitih veličina (1 BR, 1.5 BR, 2 BR, 3 BR, 4 BR), kao i maloprodajne lokale u prizemlju. Sa osnovom u obliku ćiriličnog slova “П”, njena duža strana gleda na Savski park i novi bulevar, dva bočna krila su okrenuta ka susednim stambenim objektima sa zelenim površinama između zgrada, dok pročelje, sa privatnim unutrašnjim dvorištem, gleda na Savsku ulicu i Palatu pravde. Orijentacija stanova je projektovana u cilju maksimizacije direktnih pogleda na zelene površine.Stanari zgrade BW Quartet uživaće u bezbednosti i neposrednoj blizini privatnog dvorišta koje sadrži dečije igralište, zonu za opuštanje i bujno zelenilo. Za porodice sa malom decom, vrtić se nalazi u susednoj stambenoj zgradi.Ostali sadržaji u samom objektu obuhvataju kafiće, restorane, lokale maloprodaje i usluga u prizemlju, ulazne lobije sa recepcijama i danonoćnim obezbeđenjem, podzemnu garažu na dva nivoa i ostave za skladištenje.Bilo da je u pitanju kupovina za sopstvene potrebe, investiranje ili izdavanje, pojedincima, parovima i porodicama biće na raspolaganju izbor 232 stanova koji zadovoljavaju najviše standarde savremenog gradskog življenja.Stambene jedinice sa jednom i dve spavaće sobe predstavljaće idealan izbor za pojedince i mlade parove, kao i za investitore koji traže siguran povraćaj uloženih sredstava. Za porodice sa decom i one kojima je potreban veći životni prostor, BW Quartet nudi trosobne jedinice, kao i prostranije penthause sa tri i četiri spavaće sobe na poslednjem, uvučenom spratu.Svaki stan u zgradi BW Quartet odiše standardima najvišeg kvaliteta u pogledu dizajna enterijera i završnih radova. Višeslojni parket može se naći u svim dnevnim boravcima, trpezarijama, spavaćim sobama i hodnicima. U kuhinjama i kupatilima ugrađeni su elementi od kompozitnih materijala, porcelanske pločice renomiranih proizvođača na podovima i nižim zidnim površinama. Sva kupatila su opremljena visokokvalitetnom sanitarnom opremom, ugrađenim tuš kabinama sa staklenim zidovima i akrilnim kadama za sekundarna kupatila u stanovima sa više od jedne spavaće sobe. Svaki stan opremljen je centralnim grejanjem i multisplit sistemom za klimatizaciju dnevnih i spavaćih soba, kao i spoljnom jedinicom za rashlađivanje terasa.BW Quartet integriše ova tri svojstva u sve aspekte savremenog življenja. Elegantni prostori, kvalitetne komponente i materijali renomiranih proizvođača garantuju utisak ekskluzivnosti i istinske prefinjenosti. Plafoni visine 2,8 m dodatno pojačavaju osećaj prostranosti u dnevnim boravcima i spavaćim sobama, dok terase u svakom stanu, sa prozorima od poda do plafona, uokviruju slikovite poglede na Savski park, privatno unutrašnje dvorište i grad.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/6053647746416725190f3eb3,44.80499275,20.448490990559197,1.5824817767765371
prodaja,stan,355.000 €,Beograd,Novi Beograd,Blok 30,Blok 30,190m²,,3.5 sobe,uknjiženo,centralno grejanje,,renovirano,,5/5 spratova,ima lift (1),"podrum, terasa",,1 garažno mesto,,namešteno,"kablovska, internet, video nadzor, interfon, klima",useljivo,,,,,164,"Jedinstven LUX kompletno namešten stan na poslednjem spratu u kockicama u bloku 30 . Stan je Uknjižen na 96kvm , ali mereno ima 110m2(sa prednjom terasom) + velika terasa 80m2 + 22m2 garaza.              Renoviran je kompletno pre 4 godine i ukupno je uloženo 100.000 EUR.                                                                                                                Alu stolarija , Bosal ulazna i sobna najskuplja vrata , hrast brodski pod prva klasa , Porcelanosa keramika , alarm i video nadzor .  Po strukturi troiposoban - dve spavace sobe od kojih je jedna velika sa svojim kupatilom (pregradjeno staklenim zidom) , mali garderober i veliki dnevni boravak sa otvorenom kuhinjom. Uz male prepravke moguce dobijanje još jedne spavaće sobe.                                                                                                                                                                                  Jugozapadno orjentisan i jako svetao stan tokom celog dana.Agent Boško  066151531",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/blok-30/61422ea54a87403f30753fe4,44.81933275,20.419374125666117,2.9774918306406706
prodaja,stan,279.000 €,Beograd,Savski Venac,Palata Pravde,Palata Pravde,116m²,,4 sobe,,,,,,3/6 spratova (nije poslednji sprat),,,,,,polunamešteno,,,,,,,180,"Stan je pogodan kako za porodični život tako i za poslovni prostor, npr. advokatsku kancelariju zbog blizine Palate pravde.Stan se nalazi u dobro održavanoj zgradi koja je useljena 2001. godine.Stan je u odličnom stanju, svetao, dvostrano orijentisan jug-zapad. Stan ima veliku dnevnu sobu sa trpezarijom, izdvojenom kuhinjom i zatvorenom terasom. 3 spavaće sobe imaju izlaz na veliku zatvorenu terasu. Veliko kupatilo i toalet u koji se može postaviti tuš kabina. Dnevna soba gleda na sarajevsku ulicu dok su spavaće sobe  okrenute ka mirnom dvorištu zgrade.Zonsko parkiranje, postoji mogućnost zakupa parking mesta u dvorištu zgrade.Blizina Maxija i ostalih prodavnica, autobuskih  stanica...Agencijska provizija 2%Agent Boško0637277000066151531",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/palata-pravde/61422ea94a87403f30753fec,44.8048741,20.45427794148972,1.46223157229707
prodaja,stan,150.000 €,Beograd,Savski Venac,Savamala,Savamala,66m²,,2 sobe,,centralno grejanje,,renovirano,,4/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,namešteno,"telefon, kablovska, internet, video nadzor, interfon, klima",useljivo,,,,,66,"Ovaj dvosoban stan se nalazi u ulici Gavrila Principa, u odličnom je stanju i odmah je useljiv.Stan je za svaku preporuku.Agencijska provizija 2%",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/savamala/6142f32ffdadba4f760751a0,44.8128141,20.4524434,0.6681035060745569
prodaja,stan,149.000 €,Beograd,Novi Beograd,Blok 11,Bulevar Zorana Đinđića,49m²,,2 sobe,uknjiženo,centralno grejanje,,renovirano,,11/11 spratova,ima lift (1),terasa,,,kupatilo,namešteno,,,,,,,,"Kompletno renoviran 2.0-soban stan na odličnoj lokaciji. 49m2+20m2 TerasaStan se prodaje kompletno namešten sa svim ugradnim elementima,belom tehnikom i nameštajem. Sve je novo i minimalno korišćeno.Odličan raspored, stan se sastoji od predsoblja, prostrane dnevne sobe spojene sa kuhnjim i trpezarijom,velike spavaće sobe,kupatila,ostave i velike terase od 20m2. Prostran,svetao stan sa odličnim pogledom.Ulaz u zgradu,čist,održavan pod video nadzorom. Kompletan krov na zgradi je saniran od strane Infostana i pod garancijom je.Agent prodaje +381612233227",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-zorana-djindjica/61a0c636c0d03f69f25fd18d,44.8195143,20.4115285,3.5982491755012362
prodaja,stan,67.500 €,Beograd,Čukarica opština,Čukarica,Požeška,45m²,,1 soba,,,,,,,,,,,kupatilo,,,,,,,,68882950,"U centralnom delu Požeške ulice nalazi se zgrada iz 70-tih godina u kojoj je stan koji vam nudimo. Zbog kaskadnog terena na kojem je zgrada, u stan se ulazi silazeći niz stepenice sa visokog prizemlja. Sam stan je orjentisan suprotno od Požeške ulice i nalazi se u klasičnom prizemlju i u potpunoj je ravni sa dvorištem. Krajem prošle godine potpuno je renoviran. Promenjena je stolarija i su sve vodovodne i elektro istalacije. Gleda na parkić i osunčan je u popodnevnim satima. U neposrednoj blizini su svi infrastrukturni elementi potrebni za ugodan život: gradski prevoz, škola, pijaca, dom zdravlja, EDB, banke, apoteke, veliki i mali marketi..  Stan se prodaje sa nameštajem.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/pozeska/5fe0bc0cec11d74aed2e10c3,44.773511,20.4138597,5.996472446468091
prodaja,stan,300.000 €,Beograd,Zvezdara opština,Gradska Bolnica,Velebitska,126m²,,3 sobe,,etažno grejanje,,,2016. godine,5/5 spratova,,terasa,5 parking mesta,1 garažno mesto,kupatila (2),namešteno,,,,,,,68882918,"Odličan urban,moderan stan (dupleks) sa otvorenim pogledom sa velike terase (oko 20m2) direktinim ulazom iz lifta u stan kao i sa klasičnim ulazom sa stepeništa.Stan je 5.0 CG ALU stolarija dva dnevna boravka i dve spavaće sobe radnom sobom garderoberom ugradnim plakarima kuhinjom dva kupatila na svakom nivou po jedno.Kupatilo na gornjem nivou je oko 17m2 sa tuš kabinom i velikom đakuzi kadom.Stan ima i tri garažna mesta(koja su takođe uknjižena) sa rolo vratimanna daljinsko upravljanje kao i dva parkig mesta u dvorištu.Ukupna kvadratura je 184m2.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/velebitska/5fe0bb9dec11d74aed2e106c,44.753919,20.5517973,10.337668516758505
prodaja,stan,218.000 €,Beograd,Voždovac opština,Braće Jerković,Dimitrija Marinkovića,112m²,,3 sobe,,,,,1998. godine,1/2 sprata (nije poslednji sprat),,,2 parking mesta,1 garažno mesto,kupatila (2),,,,,,,,68882914,"U jednoj od prvih luksuznih zgrada napravljenih krajem XX veka, u mirnom delu opštine Voždovac, u zatvorenom kompleksu sa samo 12 stanova u zgradi (prizemlje, I i II sprat), na 50 ari placa,  daje poseban osećaj života svojim stanarima.   Veoma svetao (jugoistok-jugozapad), luksuzan četvorosoban stan na I spratu, pažljivo i kompletno renoviran pre nekoliko godina. Arhitektonski jako dobro rešen raspored prostorija, sa sobama odličnih dimenzija i velikom pravougaonom terasom (cca 14m2) na koju se izlazi iz dnevnog boravka.   Stanu pripada natkriveni parking za dva automobila, uknjižen je i postoji mogućnost kupovine putem stambenog kredita. Grejanje je etažno, sa izuzetno malim utroškom struje usled kvalitetne izolacije stana i spoljne stolarije.  Ne propustite da pogledate 3D Matterport turu ove nepokretnosti u našoj prezentaciji!",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dimitrija-marinkovica/5fe0bb94ec11d74aed2e1060,44.7735805,20.4897252,5.5649385380716065
prodaja,stan,140.000 €,Beograd,Voždovac opština,Banjica,KOLONIJA,125m²,,3 sobe,,etažno grejanje,,,2019. godine,2/2 sprata,,bazen,,,"kupatilo, toalet",,,,,,,,68882880,"Odličan sunčan nov stan (dupleks ) u zgradi sa samo tri stana, u mirnom kraju, okružen modernim kućama u nizu. Svetao, sa dve terase, dva mokra čvora (gostinskim toaletom, prostranim kupatilom sa tuš kabinom), dnevnim boravkom, dve spavaće sobe  (jedna ima izlaz na terasu), kuhinjom, trpezarijom koja takođe ima izlaz na sunčanu terasu, prostranom galerijom od 25m2 na drugom nivou koja ima niz prozora i prirodnog svetla sa tri strane.Stan je uknjižen, pogodan za porodice sa decom. U blizini se nalaze osnovna škola i vrtić.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kolonija/5fe0bb39ec11d74aed2e1006,44.6691938,20.4902418,16.73325820889776
prodaja,stan,79.000 €,Beograd,Voždovac opština,Voždovac,CANKAREVA,56m²,,2 sobe,,,,,,,,lođa,,,kupatilo,,klima,,,,,,68882863,"Stan se nalazi u mirnoj ulici kod opštine Voždovac. Zgrada je zidana 2015. godine. Dvostrano orijentisan: jugoistok- severozapad. Po strukturi stan je dvoiposoban, 56,45 m2, u dve etaže.   Prizemlje: 36 m2 - dnevni boravak, kuhinja, kupatilo, terasa; stepenicama se ide na donju etažu - suteren -20 m2: hodnik i dve sobe.  Stan je sunčan. Nije potrebno ulaganje, osim kupatila.  Uknjižen po Rešenju o ozakonjenju. Idealan za poslovni prostor ili ordinacije.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cankareva/5fe0bafeec11d74aed2e0fd6,44.7887569,20.4781293,3.6451599223019375
prodaja,stan,240.000 €,Beograd,Novi Beograd,Blok 44 TC Piramida,Nehruova,167m²,,4 sobe,,,,,1975. godine,6/8 spratova (nije poslednji sprat),,lođa,,,kupatila (2),,"internet, klima",,,,,,68882853,Jedinstven stan na Novom Beogradu u Nehruovoj ulici u neposrednoj blizini reke Save dvostrano orjentisan severoistok jugozapad. Stan se nalazi na 6 spratu po strukturi je 5.0 dupleks sa dnevnim boravkom i 4 spavaće sobe dva kupatila od kojih jedno od 15m2 galerijom velikom terasom 10m2 sa cg i PVC stolarijom uknajižen .Odlična prilika za kupovinu sa veoma malim ulaganjima (krečenje i eventualo  lakiranje parketa).Uz sten idu i dve ostave od kojih je jedna 20m2.Ispred zgrade se nalazi veliki uređen park a iza zgrade  je veliki parking.Stan se nalazi na 6 spratu od 8 ima lift.,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/nehruova/5fe0baddec11d74aed2e0fbb,44.7983878,20.3831999,6.224999879203495
prodaja,stan,199.000 €,Beograd,Stari Grad opština,Skupština,Kosovska,154m²,,2 sobe,,,,,,,,,,,"kupatilo, toalet",,,,,,,,68882848,"Stan se nalazi u samom srcu Kosovske ulice iza skupštine Republike Srbije.  U polusuterenu predratne zgrade opredeljen je prema lepom i velikom uređenom dvorištu.   Sastoji se od velikog antrea četiri sobe trpezarije i dva mokra čvora,grejanje je etažno Ima PVC stolariju,uknjižen..  Potrebno je renoviranje : instalacija vodovodnih kanalizacionih elektro instalacija  zamena pločica krečenje   hoblovanje i lakiranje parketa.Visina plafona je oko 3m prostor je pogodan za  ordinaciju kancelarski prostor",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kosovska/5fe0baccec11d74aed2e0fac,44.8117454,20.4670614,1.0509851349577792
prodaja,stan,267.888 €,Beograd,Savski Venac,Beograd na vodi,Hercegovačka,79m²,,3 sobe,,centralno grejanje,,u izgradnji,,18/23 sprata (nije poslednji sprat),ima lift (1),,1 parking mesto,1 garažno mesto,kupatilo,prazno,"telefon, internet, klima",,,,,,3850,"BW Verde 2022. – BEZ PROVIZIJEArt nekretnine d.o.o. kao ovlašćeni prodavac na projektu Beograd na vodi, u prilici je da Vam ponudikomforan trosoban stan u zgradi BW Verde. Karakteristike stana:•	Visina plafona – 2.8m•	Balkonski prozori od poda do plafona (Obilje prirodne svetlosti)•	CG – po potrošnji•	Multi-split sistem za klimatizaciju•	Višeslojni parketi•	Sanitarije renomiranih proizvođača•	Porcelanske pločice•	Opremljen kuhinjom, garderoberima i kupatilskim nameštajem (uključeno u cenu)•	Recepcija i video nadzor 24hCena garažnog mesta: •	Standardno – 23.950eCena sa uračunatim PDV-om. Povraćaj PDV-a za kupce prvog stana.BW Verde je nova stambena zgrada koja nudi širok izbor modernih stambenih jedinica različitih veličina. Od garsonjera, jednosobnih,jednoiposobnih,dvosobnih I trosobnih stanova,do vanserijskih četvorosobnih penthaus apartmana sa fascinantnim pogledom.Prednost života u BW Verde biće direktan pristup novom parku sa neometanim pogledom na oazu mira i zelenila.BW Verde je rezidencijalna višespratnica visoka 83metra, locirana u srcu Belgrade Waterfront-a, odlično povezana kako sa neposrednim okruženjem, tako i sa ostalim delovima grada.U sklopu objekta nalaziće se prostran lobi i recepcija, prostorije za porodične aktivnosti, podzemna garaža na dva nivoa, namenske skladišne prostorije za svaku stambenu jedinicu, danonoćno dežurno obezbeđenje.Stanari će uživati  u zajedničkom uređenom dvorištu sa dečijim igralištem, prostorom za opuštanje i vrtićem. U prizemlju će se nalaziti maloprodajni lokali za podmirenje osnovnih zivotnih potrebaBez provizije za kupcaPozovite nas i zakažite sastanak.011/4016-236011/4016-237",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/hercegovacka/6172dc3c58f15518f14a3138,44.8132072,20.4520632,0.6491339966627081
prodaja,stan,404.888 €,Beograd,Savski Venac,Beograd na vodi,Hercegovačka,118m²,,4 sobe,,centralno grejanje,,novo,,21/23 sprata (nije poslednji sprat),ima lift (1),,1 parking mesto,1 garažno mesto,kupatilo,prazno,"telefon, kablovska, internet, interfon, klima",,,,,,3849,"Art nekretnine d.o.o. kao ovlašćeni prodavac na projektu Beograd na vodi, u prilici je da Vam ponudi komforan četvorosoban stan u zgradi BW Aurora  Karakteristike stana:•	Visina plafona – 2.8m•	Balkonski prozori od poda do plafona (Obilje prirodne svetlosti)•	CG – po potrošnji•	Multi-split sistem za klimatizaciju•	Višeslojni parketi•	Sanitarije renomiranih proizvođača•	Porcelanske pločice•	Opremljen kuhinjom, garderoberima i kupatilskim nameštajem (uključeno u cenu)•	Recepcija i video nadzor 24hCena garažnog mesta: •	Standardno – 21.000e•	Duplo – 32.400eCena sa uračunatim PDV-om. Povraćaj PDV-a za kupce prvog stana.BW Aurora je stambena zgrada pozicionirana uz BW park,na samo par minuta šetnje do Sava promenade, BW Galerije i Kule Beograd. Okružena zelenilom, napravljena je tako da obezbedi savremen, aktivan i ispunjen zivot u prirodnom okruzenju. Stanari ce uzivati u blizini Sava promenade, kafea,restorana, sportskih terena, parka za decu, sezonskih klizališta, amfiteatra i ostalih sadržaja koje kompleks nudi. Zgrada poseduje prostrani ulazni hol sa recepcijom, uredjeno dvorište sa dećijim igralištem, vrtić u okviru kompleksa, podzemne garaže  i stanarske ostave. Useljiva u decembru 2021.U ponudi imamo stanove različitih struktura i kvadratura ,kao i kompletnu ponudu ostalih objekata Belgrade Waterfront-a.Bez provizije za kupcaPozovite nas i zakažite sastanak.011/4016-236011/4016-237",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/hercegovacka/6172dc3c58f15518f14a313c,44.8132072,20.4520632,0.6491339966627081
prodaja,stan,253.852 €,Beograd,Vračar,Čubura,Cerska,92m²,,4 sobe,,etažno grejanje,,,,1/4 sprata (nije poslednji sprat),,terasa,1 parking mesto,2 garažna mesta,"kupatila (2), toalet",namešteno,veš mašina,,,,,,70377928,"Za istančan ukus naših kupaca nudimo luksuznu novogradnju na Vračaru, nadomak Čuburskog parka. Ovaj izuzetan stambeni objekat građen je najkvalitetnijim materijalima tako da zadovolji ukus svakoga ko ume da prepozna pravu vrednost nekretnine. Zgrada obrađena pikovanom fasadom, sendvič zidovima, izolacijom tvrdo presovanom kamenom vunom od 10cm, sa ugrađenim video nadzorom, interfonom i liftom koji se spušta do nivoa garaže. Garažna mesta je moguće kupiti uz svaku stambenu jedinicu po ceni od 15.000 EUR + PDV.  Stanovi su trosobni i četvorosobni, opremljeni italijanskom granitnom keramikom, hrastovim parketom, multi-split sistemom klima uređaja, aluminijumskom stolarijom sa niskoemisionim staklom sa elektro podizačima i komarnicima. Koncipirani su tako da odgovaraju modernom načinu života sa tzv. open space dnevnom sobom, kuhinjom i trpezarijom, glavnom spavaćom sobom (master bedroom) sa zasebnim kupatilom, dve ili tri spavaće sobe sa odvojenim kupatilom, gostinjskim toaletom, ostavom i terasom sa fantastičnim pogledom.  U ponudi su stanovi od 89, 92 i 95m2.  Cena stanova je po m2 je 2500 EUR+PDV. Moguć povraćaj PDV-a za kupce prvog stana.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/cerska/603c974b551f0000cb5bda9a,44.7934195,20.4887221,3.7025546503348488
